Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
EON SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"5,600",100 to 110,"1,000 to 1,100",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"3,200",40 to 50,400 to 500,Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"6,500",90 to 100,"1,000 to 1,100",Jan-24
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,NA,"6,300",80 to 90,"900 to 1,000",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"3,300",40 to 50,500 to 600,Jan-24
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,2,"6,500",120 to 130,"1,300 to 1,400",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"4,800",80 to 90,"900 to 1,000",Jan-24
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"8,000",110 to 120,"1,200 to 1,300",Jan-24
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"3,750",90 to 100,"900 to 1,000",Jan-24
THE STELLAR,WEST COAST ROAD,05,Non-Landed Properties,3,"6,500",120 to 130,"1,300 to 1,400",Jan-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,000",60 to 70,600 to 700,Jan-24
ICON,GOPENG STREET,02,Non-Landed Properties,2,"6,300",100 to 110,"1,000 to 1,100",Jan-24
PEOPLE'S PARK COMPLEX,PARK ROAD,01,Non-Landed Properties,4,"6,700",140 to 150,"1,600 to 1,700",Jan-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,850",50 to 60,600 to 700,Jan-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jan-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,4,"6,150",110 to 120,"1,100 to 1,200",Jan-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,800",50 to 60,600 to 700,Jan-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"7,500",100 to 110,"1,100 to 1,200",Jan-24
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"6,700",90 to 100,"1,000 to 1,100",Jan-24
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,3,"5,900",90 to 100,"1,000 to 1,100",Jan-24
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"7,400",110 to 120,"1,200 to 1,300",Jan-24
TREASURE PLACE,LORONG SARHAD,05,Non-Landed Properties,3,"4,500",130 to 140,"1,400 to 1,500",Jan-24
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,2,"5,600",100 to 110,"1,100 to 1,200",Jan-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"3,650",60 to 70,600 to 700,Jan-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,400",30 to 40,300 to 400,Jan-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"6,600",80 to 90,800 to 900,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"5,000",80 to 90,"900 to 1,000",Jan-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"8,800",120 to 130,"1,300 to 1,400",Jan-24
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,3,"5,000",110 to 120,"1,100 to 1,200",Jan-24
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,2,"5,500",60 to 70,700 to 800,Jan-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,NA,"3,800",40 to 50,400 to 500,Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"4,300",60 to 70,700 to 800,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"3,750",60 to 70,600 to 700,Jan-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,850",50 to 60,600 to 700,Jan-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,3,"3,600",40 to 50,500 to 600,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Jan-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,758",50 to 60,600 to 700,Jan-24
THE CASSANDRA,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,000",120 to 130,"1,300 to 1,400",Jan-24
LUMIERE,MISTRI ROAD,02,Non-Landed Properties,NA,"3,800",40 to 50,400 to 500,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"3,100",40 to 50,500 to 600,Jan-24
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,4,"17,000",250 to 260,"2,600 to 2,700",Jan-24
QUEENS,STIRLING ROAD,03,Non-Landed Properties,3,"5,700",110 to 120,"1,100 to 1,200",Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"7,000",100 to 110,"1,100 to 1,200",Jan-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,2,"5,000",60 to 70,600 to 700,Jan-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,4,"9,000",160 to 170,"1,800 to 1,900",Jan-24
NON-LANDED HOUSING DEVELOPMENT,OUTRAM ROAD,03,Non-Landed Properties,NA,"3,500",90 to 100,"1,000 to 1,100",Jan-24
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,2,"4,100",70 to 80,800 to 900,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"5,000",80 to 90,"900 to 1,000",Jan-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,4,"7,800",120 to 130,"1,300 to 1,400",Jan-24
VIVA VISTA,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"2,900",30 to 40,300 to 400,Jan-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"4,000",50 to 60,600 to 700,Jan-24
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,3,"7,300",100 to 110,"1,100 to 1,200",Jan-24
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"4,500",90 to 100,"900 to 1,000",Jan-24
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,03,Non-Landed Properties,3,"6,400",130 to 140,"1,300 to 1,400",Jan-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Jan-24
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,3,"6,800",80 to 90,"900 to 1,000",Jan-24
VIVA VISTA,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"2,800",30 to 40,300 to 400,Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"3,050",40 to 50,400 to 500,Jan-24
WALLICH RESIDENCE,WALLICH STREET,02,Non-Landed Properties,1,"6,400",50 to 60,600 to 700,Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Jan-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,1,"3,600",30 to 40,300 to 400,Jan-24
DORSETT RESIDENCES,NEW BRIDGE ROAD,02,Non-Landed Properties,2,"5,300",60 to 70,600 to 700,Jan-24
THE VERANDAH RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Jan-24
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"14,500",320 to 330,"3,400 to 3,500",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,4,"7,500",120 to 130,"1,300 to 1,400",Jan-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,2,"3,800",50 to 60,600 to 700,Jan-24
THE VISION,WEST COAST CRESCENT,05,Non-Landed Properties,4,"8,888",140 to 150,"1,600 to 1,700",Jan-24
MERAPRIME,JALAN BUKIT HO SWEE,03,Non-Landed Properties,3,"6,600",100 to 110,"1,100 to 1,200",Jan-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,380",50 to 60,500 to 600,Jan-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,750",50 to 60,600 to 700,Jan-24
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,400",90 to 100,"1,000 to 1,100",Jan-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,2,"4,600",60 to 70,600 to 700,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Jan-24
THE ESTRELLA,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,350",150 to 160,"1,600 to 1,700",Jan-24
THE BERTH BY THE COVE,OCEAN DRIVE,04,Non-Landed Properties,2,"5,200",110 to 120,"1,100 to 1,200",Jan-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,3,"10,000",100 to 110,"1,100 to 1,200",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"3,000",40 to 50,400 to 500,Jan-24
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"8,800",180 to 190,"2,000 to 2,100",Jan-24
ARTRA,ALEXANDRA VIEW,03,Non-Landed Properties,3,"8,000",110 to 120,"1,200 to 1,300",Jan-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,3,"9,500",170 to 180,"1,800 to 1,900",Jan-24
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"5,450",70 to 80,700 to 800,Jan-24
THE FORESTA @ MOUNT FABER,WISHART ROAD,04,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Jan-24
THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,03,Non-Landed Properties,2,"5,500",80 to 90,"900 to 1,000",Jan-24
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,NA,"4,600",50 to 60,600 to 700,Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,500",60 to 70,700 to 800,Jan-24
RIVERWALK APARTMENTS,UPPER CIRCULAR ROAD,01,Non-Landed Properties,2,"6,100",110 to 120,"1,200 to 1,300",Jan-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,2,"5,000",80 to 90,800 to 900,Jan-24
WATERFRONT @ FABER,FABER WALK,05,Non-Landed Properties,2,"3,500",60 to 70,700 to 800,Jan-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,2,"4,600",60 to 70,700 to 800,Jan-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,3,"4,800",80 to 90,"900 to 1,000",Jan-24
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,3,"5,000",120 to 130,"1,200 to 1,300",Jan-24
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,3,"9,900",170 to 180,"1,900 to 2,000",Jan-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"7,400",130 to 140,"1,400 to 1,500",Jan-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Jan-24
PARC IMPERIAL,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"2,900",30 to 40,300 to 400,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Jan-24
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,3,"7,500",120 to 130,"1,300 to 1,400",Jan-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,3,"8,500",160 to 170,"1,700 to 1,800",Jan-24
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,3,"7,500",100 to 110,"1,100 to 1,200",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Jan-24
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,4,"14,500",290 to 300,"3,100 to 3,200",Jan-24
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"5,000",40 to 50,500 to 600,Jan-24
TWIN REGENCY,KIM TIAN ROAD,03,Non-Landed Properties,3,"6,850",110 to 120,"1,200 to 1,300",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"5,000",80 to 90,"900 to 1,000",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,Jan-24
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,3,"3,950",110 to 120,"1,200 to 1,300",Jan-24
THE ESTRELLA,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,900",110 to 120,"1,200 to 1,300",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"5,000",60 to 70,700 to 800,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"4,100",60 to 70,600 to 700,Jan-24
ROBINSON SUITES,ROBINSON ROAD,01,Non-Landed Properties,2,"4,300",50 to 60,600 to 700,Jan-24
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"5,100",90 to 100,"900 to 1,000",Jan-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"4,200",50 to 60,600 to 700,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Jan-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"4,800",70 to 80,700 to 800,Jan-24
ARTRA,ALEXANDRA VIEW,03,Non-Landed Properties,2,"6,120",70 to 80,700 to 800,Jan-24
MERAPRIME,JALAN BUKIT HO SWEE,03,Non-Landed Properties,4,"7,300",120 to 130,"1,300 to 1,400",Jan-24
QUEENS,STIRLING ROAD,03,Non-Landed Properties,4,"6,700",130 to 140,"1,400 to 1,500",Jan-24
PARC IMPERIAL,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"2,900",30 to 40,300 to 400,Jan-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,2,"5,000",90 to 100,"1,000 to 1,100",Jan-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,4,"6,550",110 to 120,"1,100 to 1,200",Jan-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,3,"15,000",180 to 190,"2,000 to 2,100",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,Jan-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Jan-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,Jan-24
REGENT PARK,JALAN LEMPENG,05,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Jan-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,2,"3,800",60 to 70,700 to 800,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"4,750",80 to 90,"900 to 1,000",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,300",50 to 60,500 to 600,Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"5,800",60 to 70,600 to 700,Jan-24
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,2,"8,000",110 to 120,"1,100 to 1,200",Jan-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"6,800",120 to 130,"1,300 to 1,400",Jan-24
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,4,"11,000",240 to 250,"2,600 to 2,700",Jan-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"7,600",120 to 130,"1,300 to 1,400",Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"7,600",100 to 110,"1,100 to 1,200",Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,400",70 to 80,700 to 800,Jan-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,3,"9,400",190 to 200,"2,000 to 2,100",Jan-24
EON SHENTON,SHENTON WAY,02,Non-Landed Properties,3,"7,500",110 to 120,"1,200 to 1,300",Jan-24
WALLICH RESIDENCE,WALLICH STREET,02,Non-Landed Properties,3,"13,500",120 to 130,"1,300 to 1,400",Jan-24
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"8,800",170 to 180,"1,800 to 1,900",Jan-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,700",50 to 60,600 to 700,Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"3,100",40 to 50,500 to 600,Jan-24
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,NA,"3,400",60 to 70,600 to 700,Jan-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,3,"6,000",80 to 90,800 to 900,Jan-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,3,"4,300",60 to 70,600 to 700,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Jan-24
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,2,"4,600",60 to 70,700 to 800,Jan-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,500",50 to 60,600 to 700,Jan-24
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,1,"4,500",60 to 70,600 to 700,Jan-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"4,800",70 to 80,800 to 900,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,300",40 to 50,500 to 600,Jan-24
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Jan-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,2,"4,200",80 to 90,"900 to 1,000",Jan-24
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,NA,"3,800",40 to 50,400 to 500,Jan-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,2,"4,800",70 to 80,800 to 900,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,100",40 to 50,500 to 600,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"3,700",60 to 70,600 to 700,Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"3,800",60 to 70,600 to 700,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"4,050",60 to 70,700 to 800,Jan-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,Jan-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"7,400",110 to 120,"1,200 to 1,300",Jan-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"3,700",60 to 70,600 to 700,Jan-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,350",40 to 50,400 to 500,Jan-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,300",40 to 50,500 to 600,Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"5,300",80 to 90,"900 to 1,000",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,188",40 to 50,500 to 600,Jan-24
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,NA,"4,400",60 to 70,700 to 800,Jan-24
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,1,"4,500",90 to 100,"1,000 to 1,100",Jan-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"5,000",80 to 90,800 to 900,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"3,000",40 to 50,500 to 600,Jan-24
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,3,"6,700",130 to 140,"1,400 to 1,500",Jan-24
THE CREST,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,1,"4,000",60 to 70,600 to 700,Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,3,"10,400",140 to 150,"1,500 to 1,600",Jan-24
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-Landed Properties,NA,"4,300",80 to 90,"900 to 1,000",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"3,500",60 to 70,600 to 700,Jan-24
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"8,200",130 to 140,"1,400 to 1,500",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"3,000",40 to 50,400 to 500,Jan-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,2,"5,500",60 to 70,600 to 700,Jan-24
FRAGRANCE COURT,YEW SIANG ROAD,05,Non-Landed Properties,3,"3,900",130 to 140,"1,400 to 1,500",Jan-24
NON-LANDED HOUSING DEVELOPMENT,ENG HOON STREET,03,Non-Landed Properties,NA,"6,000",90 to 100,"900 to 1,000",Jan-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,050",60 to 70,600 to 700,Jan-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"4,300",70 to 80,700 to 800,Jan-24
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jan-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,900",60 to 70,600 to 700,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"3,600",60 to 70,600 to 700,Jan-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,555",50 to 60,500 to 600,Jan-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Jan-24
HARVEST MANSIONS,HAVELOCK ROAD,03,Non-Landed Properties,2,"7,300",90 to 100,"1,000 to 1,100",Jan-24
THE SPECTRUM,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,000",90 to 100,"1,000 to 1,100",Jan-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,900",50 to 60,600 to 700,Jan-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"5,200",80 to 90,"900 to 1,000",Jan-24
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,4,"7,800",140 to 150,"1,500 to 1,600",Jan-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Jan-24
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,NA,"6,700",80 to 90,"900 to 1,000",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,Jan-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,4,"9,400",310 to 320,"3,300 to 3,400",Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,3,"10,300",140 to 150,"1,500 to 1,600",Jan-24
THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,03,Non-Landed Properties,4,"9,050",150 to 160,"1,600 to 1,700",Jan-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,3,"3,800",80 to 90,"900 to 1,000",Jan-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,200",60 to 70,600 to 700,Jan-24
WHITEHAVEN,PASIR PANJANG ROAD,05,Non-Landed Properties,4,"5,800",100 to 110,"1,100 to 1,200",Jan-24
LUXE VILLE,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"6,000",130 to 140,"1,400 to 1,500",Jan-24
24 ONE RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,700",40 to 50,400 to 500,Jan-24
THE BERTH BY THE COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"7,500",180 to 190,"2,000 to 2,100",Jan-24
THE VERANDAH RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,1,"3,900",50 to 60,600 to 700,Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"5,200",70 to 80,800 to 900,Jan-24
MENDON SPRING,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,700",90 to 100,"1,000 to 1,100",Jan-24
THE BEACON,CANTONMENT ROAD,02,Non-Landed Properties,2,"5,000",90 to 100,"900 to 1,000",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,400",60 to 70,700 to 800,Jan-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"5,600",70 to 80,700 to 800,Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"5,200",70 to 80,700 to 800,Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"3,050",40 to 50,400 to 500,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"5,200",80 to 90,"900 to 1,000",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"4,000",60 to 70,700 to 800,Jan-24
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"7,500",100 to 110,"1,100 to 1,200",Jan-24
